Census_Block_Groups.ObjectID,Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Feature Class Code,Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Object  Identifier,Geographic Identifier,State Federal Information Processing Series (FIPS) codes,County Federal Information Processing Series (FIPS) Code,Tract Code,Block Group Code,Base Geographic Name,Block Group Name,Legal/Statistical Area Description Code,Functional Status,Land Area (Square Meters),Water Area (Square Meters),Centroid Latitude,Centroid Longitude,Internal Point Latitude,Internal Point Longitude,Census_Block_Groups.SHAPE_Length,Census_Block_Groups.SHAPE_Area,Census_Block_Groups.Population_Density,Population_Density,allegheny_county_acs_2024_block_groups.OBJECTID,NAME,B01003_001E,B01002_001E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B17001_001E,B17001_002E,B25044_001E,B25044_003E,B25044_010E,state,county,tract,block group,Population,Population over 65,Median Age,Poverty Population,Household in total,Household with no vehicle,Population Percentage over 65,Poverty Population Rate,Household No Vehicle Rate,GEO_ID
6727,G5030,208903717072385,420031014002,42,003,101400,2,2,Block Group 2,BG,S,115857,0,+40.4844952,-079.9284287,+40.4844952,-079.9284287,1876.318304,200491.5307,0.003754629,0.003754629,73,Block Group 2; Census Tract 1014; Allegheny County; Pennsylvania,435,35.5,0,11,0,10,0,0,0,30,0,0,0,0,,,180,11,14,42,3,101400,2,435,51,36,,180,25,11.72413793,,0.138888889,420031014002
14664,G5030,20890321500942,420034592011,42,003,459201,1,1,Block Group 1,BG,S,7141381,0,+40.4339726,-080.1032387,+40.4339726,-080.1032387,24194.45047,12339719.81,0.000304983,0.000304983,530,Block Group 1; Census Tract 4592.01; Allegheny County; Pennsylvania,2178,45.2,19,0,54,120,42,37,31,45,97,83,0,65,,,837,14,0,42,3,459201,1,2178,593,45,,837,14,27.22681359,,0.016726404,420034592011
15257,G5030,20890321530739,420034297002,42,003,429700,2,2,Block Group 2,BG,S,1075341,0,+40.4945372,-080.0390436,+40.4945372,-080.0390436,9041.064988,1861423.955,0.000800676,0.000800676,437,Block Group 2; Census Tract 4297; Allegheny County; Pennsylvania,861,41.9,0,0,35,14,29,0,30,24,49,29,0,39,,,331,30,0,42,3,429700,2,861,249,42,,331,30,28.91986063,,0.090634441,420034297002
15421,G5030,208903717072137,420035626001,42,003,562600,1,1,Block Group 1,BG,S,1083105,0,+40.4385816,-080.0370912,+40.4385816,-080.0370912,9431.749508,1871771.858,0.0013489,0.0013489,991,Block Group 1; Census Tract 5626; Allegheny County; Pennsylvania,1461,33.9,54,11,28,0,0,0,10,0,26,0,41,0,,,682,52,54,42,3,562600,1,1461,170,34,,682,106,11.63586585,,0.15542522,420035626001
15508,G5030,208903717072141,420035624002,42,003,562400,2,2,Block Group 2,BG,S,633812,0,+40.4147200,-080.0034945,+40.4147200,-080.0034945,5351.089283,1094556.187,0.000831477,0.000831477,986,Block Group 2; Census Tract 5624; Allegheny County; Pennsylvania,527,17.5,0,10,9,0,0,0,0,18,12,0,0,0,,,201,16,52,42,3,562400,2,527,49,18,,201,68,9.297912713,,0.338308458,420035624002
16746,G5030,20890321528264,420030506002,42,003,050600,2,2,Block Group 2,BG,S,412962,0,+40.4511570,-079.9599096,+40.4511570,-079.9599096,3719.404589,713925.7716,0.002351306,0.002351306,27,Block Group 2; Census Tract 506; Allegheny County; Pennsylvania,971,31.6,27,19,9,55,5,18,8,0,30,30,12,27,,,493,81,162,42,3,50600,2,971,240,32,,493,243,24.71678682,,0.492900609,420030506002
16747,G5030,20890321521204,420030509001,42,003,050900,1,1,Block Group 1,BG,S,455034,0,+40.4510143,-079.9743850,+40.4510143,-079.9743850,5584.015738,786654.6398,0.003395351,0.003395351,28,Block Group 1; Census Tract 509; Allegheny County; Pennsylvania,1545,27.3,6,0,29,14,6,0,19,22,52,42,8,13,,,766,14,503,42,3,50900,1,1545,211,27,,766,517,13.65695793,,0.674934726,420030509001
16748,G5030,20890321521164,420030510001,42,003,051000,1,1,Block Group 1,BG,S,244803,0,+40.4419374,-079.9712169,+40.4419374,-079.9712169,3276.811136,423097.0415,0.003557963,0.003557963,29,Block Group 1; Census Tract 510; Allegheny County; Pennsylvania,871,38,9,0,0,0,0,0,8,0,11,24,11,0,,,576,0,262,42,3,51000,1,871,63,38,,576,262,7.233065442,,0.454861111,420030510001
18115,G5030,208903717072618,420032708003,42,003,270800,3,3,Block Group 3,BG,S,633744,0,+40.4865869,-080.0297229,+40.4865869,-080.0297229,5543.616151,1096758.908,0.001151885,0.001151885,230,Block Group 3; Census Tract 2708; Allegheny County; Pennsylvania,730,47.6,0,13,20,0,0,26,13,37,53,0,0,0,,,451,4,0,42,3,270800,3,730,162,48,,451,4,22.19178082,,0.00886918,420032708003
18121,G5030,208903717072636,420034600021,42,003,460002,1,1,Block Group 1,BG,S,4192548,0,+40.4605203,-080.0985015,+40.4605203,-080.0985015,13367.19994,7250057.122,0.00030745,0.00030745,538,Block Group 1; Census Tract 4600.02; Allegheny County; Pennsylvania,1289,36,0,0,28,8,0,0,0,0,12,31,8,9,,,602,0,19,42,3,460002,1,1289,96,36,,602,19,7.447633825,,0.031561462,420034600021
22872,G5030,208903717072606,420031918003,42,003,191800,3,3,Block Group 3,BG,S,190213,0,+40.3895299,-080.0171437,+40.3895299,-080.0171437,2996.681587,328235.1755,0.005483327,0.005483327,184,Block Group 3; Census Tract 1918; Allegheny County; Pennsylvania,1043,38.1,24,0,14,1,0,0,0,18,0,13,0,15,,,340,0,6,42,3,191800,3,1043,85,38,,340,6,8.149568552,,0.017647059,420031918003
22939,G5030,208903717072608,420035630002,42,003,563000,2,2,Block Group 2,BG,S,574659,0,+40.4597660,-080.0778305,+40.4597660,-080.0778305,4254.801189,993718.8323,0.001618351,0.001618351,1000,Block Group 2; Census Tract 5630; Allegheny County; Pennsylvania,930,42.3,1,0,62,14,0,0,26,14,22,0,2,21,,,362,59,30,42,3,563000,2,930,162,42,,362,89,17.41935484,,0.245856354,420035630002
24097,G5030,208903717072615,420035627002,42,003,562700,2,2,Block Group 2,BG,S,534642,6551,+40.4527422,-080.0067309,+40.4515765,-080.0053403,4226.728296,935649.4749,0.002626056,0.002626056,994,Block Group 2; Census Tract 5627; Allegheny County; Pennsylvania,1404,31,0,0,24,22,12,12,17,16,26,18,15,12,,,1042,9,298,42,3,562700,2,1404,174,31,,1042,307,12.39316239,,0.29462572,420035627002
25771,G5030,208903717072575,420031306001,42,003,130600,1,1,Block Group 1,BG,S,702533,0,+40.4545589,-079.8790073,+40.4545589,-079.8790073,7543.045872,1214649.591,0.000489657,0.000489657,103,Block Group 1; Census Tract 1306; Allegheny County; Pennsylvania,344,63.3,5,16,6,0,0,0,0,0,20,60,18,15,,,233,9,73,42,3,130600,1,344,140,63,,233,82,40.69767442,,0.35193133,420031306001
25772,G5030,208903717072578,420035623003,42,003,562300,3,3,Block Group 3,BG,S,880801,0,+40.4093855,-079.9392643,+40.4045328,-079.9418430,8321.164451,1520843.261,0.00190849,0.00190849,984,Block Group 3; Census Tract 5623; Allegheny County; Pennsylvania,1681,41.9,37,70,94,22,0,15,13,10,46,10,9,20,,,854,43,162,42,3,562300,3,1681,346,42,,854,205,20.58298632,,0.240046838,420035623003
25773,G5030,208903717072581,420031018002,42,003,101800,2,2,Block Group 2,BG,S,797068,0,+40.4847864,-079.9385830,+40.4847864,-079.9385830,9226.557154,1379342.337,0.001991047,0.001991047,77,Block Group 2; Census Tract 1018; Allegheny County; Pennsylvania,1587,43.4,10,17,40,43,0,10,0,44,71,39,11,30,,,835,23,0,42,3,101800,2,1587,315,43,,835,23,19.84877127,,0.02754491,420031018002
25774,G5030,208903717072583,420030802002,42,003,080200,2,2,Block Group 2,BG,S,91466,0,+40.4617200,-079.9522413,+40.4617200,-079.9522413,1611.331675,158171.5912,0.006876872,0.006876872,51,Block Group 2; Census Tract 802; Allegheny County; Pennsylvania,629,36.9,11,24,11,6,7,6,17,0,14,11,6,31,,,393,44,49,42,3,80200,2,629,144,37,,393,93,22.89348172,,0.236641221,420030802002
25893,G5030,208903717072600,420031414004,42,003,141400,4,4,Block Group 4,BG,S,1136077,95043,+40.4189828,-079.9169920,+40.4187330,-079.9174146,10468.24024,2126331.752,0.00178333,0.00178333,139,Block Group 4; Census Tract 1414; Allegheny County; Pennsylvania,2026,47.9,45,29,85,36,61,8,11,41,120,68,42,71,,,937,0,113,42,3,141400,4,2026,617,48,,937,113,30.45409674,,0.120597652,420031414004
25894,G5030,208903717072607,420032023004,42,003,202300,4,4,Block Group 4,BG,S,841910,0,+40.4127768,-080.0356727,+40.4127768,-080.0356727,4606.265847,1453842.563,0.000913399,0.000913399,203,Block Group 4; Census Tract 2023; Allegheny County; Pennsylvania,769,28.1,0,16,4,0,0,0,0,0,31,16,16,0,,,490,0,31,42,3,202300,4,769,83,28,,490,31,10.79323797,,0.063265306,420032023004
28176,G5030,208903717072638,420032904004,42,003,290400,4,4,Block Group 4,BG,S,369948,0,+40.3909811,-079.9764177,+40.3909811,-079.9764177,4880.200842,638427.8372,0.001546163,0.001546163,250,Block Group 4; Census Tract 2904; Allegheny County; Pennsylvania,572,58.8,0,27,39,9,0,10,14,0,33,24,0,21,,,381,20,41,42,3,290400,4,572,177,59,,381,61,30.94405594,,0.160104987,420032904004
28521,G5030,20890321496888,420031920001,42,003,192000,1,1,Block Group 1,BG,S,284140,0,+40.4058572,-080.0217045,+40.4058572,-080.0217045,3436.461302,490565.1678,0.002980925,0.002980925,192,Block Group 1; Census Tract 1920; Allegheny County; Pennsylvania,847,40.2,0,45,0,0,0,0,40,0,0,24,0,8,,,350,0,102,42,3,192000,1,847,117,40,,350,102,13.81345927,,0.291428571,420031920001
28547,G5030,20890321528962,420030201004,42,003,020100,4,4,Block Group 4,BG,S,422989,71482,+40.4382761,-079.9962274,+40.4381256,-079.9968423,4963.985014,854518.399,0.000671412,0.000671412,7,Block Group 4; Census Tract 201; Allegheny County; Pennsylvania,284,38.4,0,0,0,0,0,0,0,0,0,0,0,0,,,197,0,77,42,3,20100,4,284,0,38,,197,77,0,,0.390862944,420030201004
29715,G5030,20890321509100,420031916004,42,003,191600,4,4,Block Group 4,BG,S,169149,0,+40.4137886,-080.0244240,+40.4137886,-080.0244240,2519.248166,292100.3126,0.004451696,0.004451696,178,Block Group 4; Census Tract 1916; Allegheny County; Pennsylvania,753,44,38,21,22,0,0,0,8,30,0,0,0,5,,,415,0,50,42,3,191600,4,753,124,44,,415,50,16.46746348,,0.120481928,420031916004
29719,G5030,20890321498447,420034643003,42,003,464300,3,3,Block Group 3,BG,S,349433,0,+40.4443011,-080.0621717,+40.4443011,-080.0621717,3754.490359,603974.7839,0.002775926,0.002775926,554,Block Group 3; Census Tract 4643; Allegheny County; Pennsylvania,970,36.2,0,46,17,34,9,0,3,25,69,0,6,5,,,427,20,8,42,3,464300,3,970,214,36,,427,28,22.06185567,,0.06557377,420034643003
30771,G5030,208903717072024,420034705011,42,003,470501,1,1,Block Group 1,BG,S,556603,0,+40.3999705,-080.0575080,+40.3999705,-080.0575080,4475.403248,960801.3804,0.006280958,0.006280958,579,Block Group 1; Census Tract 4705.01; Allegheny County; Pennsylvania,3496,30.6,14,0,0,7,27,26,0,0,0,6,15,0,,,1436,0,99,42,3,470501,1,3496,95,31,,1436,99,2.717391304,,0.068941504,420034705011
31395,G5030,208903717072499,420031915002,42,003,191500,2,2,Block Group 2,BG,S,275059,0,+40.4231244,-080.0088711,+40.4231244,-080.0088711,3870.44173,475130.5359,0.005227969,0.005227969,174,Block Group 2; Census Tract 1915; Allegheny County; Pennsylvania,1438,35,0,10,6,13,26,0,3,6,58,73,19,0,,,711,100,30,42,3,191500,2,1438,214,35,,711,130,14.88178025,,0.182841069,420031915002
31396,G5030,208903717072500,420031914002,42,003,191400,2,2,Block Group 2,BG,S,567993,0,+40.4260253,-080.0142369,+40.4260253,-080.0142369,4627.543825,981217.7788,0.002147914,0.002147914,172,Block Group 2; Census Tract 1914; Allegheny County; Pennsylvania,1220,27,29,16,31,0,13,0,0,10,62,5,12,11,,,747,50,51,42,3,191400,2,1220,189,27,,747,101,15.49180328,,0.135207497,420031914002
31589,G5030,20890321511581,420034885001,42,003,488500,1,1,Block Group 1,BG,S,1640889,0,+40.3642431,-079.9212904,+40.3642431,-079.9212904,9055.596505,2829500.751,0.00072156,0.00072156,744,Block Group 1; Census Tract 4885; Allegheny County; Pennsylvania,1184,38.8,0,13,0,0,10,36,35,0,6,0,47,13,,,462,62,0,42,3,488500,1,1184,160,39,,462,62,13.51351351,,0.134199134,420034885001
31672,G5030,208903717072462,420035631001,42,003,563100,1,1,Block Group 1,BG,S,1835359,0,+40.4304108,-080.0392490,+40.4304108,-080.0392490,10442.20379,3171016.874,0.000549211,0.000549211,1002,Block Group 1; Census Tract 5631; Allegheny County; Pennsylvania,1008,45.1,51,18,7,8,20,24,27,11,10,18,34,0,,,544,14,0,42,3,563100,1,1008,228,45,,544,14,22.61904762,,0.025735294,420035631001
31810,G5030,208903717072463,420035630003,42,003,563000,3,3,Block Group 3,BG,S,852417,0,+40.4544495,-080.0715070,+40.4544495,-080.0715070,8668.429392,1473794.711,0.001628311,0.001628311,1001,Block Group 3; Census Tract 5630; Allegheny County; Pennsylvania,1388,34.5,11,7,57,16,0,42,12,8,74,0,0,29,,,508,33,49,42,3,563000,3,1388,256,34,,508,82,18.44380403,,0.161417323,420035630003
31811,G5030,208903717072464,420033001005,42,003,300100,5,5,Block Group 5,BG,S,124532,0,+40.4088166,-079.9939197,+40.4088166,-079.9939197,1903.268608,215020.4994,0.002947034,0.002947034,255,Block Group 5; Census Tract 3001; Allegheny County; Pennsylvania,367,44.1,20,0,26,0,0,0,0,28,0,0,0,0,,,162,0,52,42,3,300100,5,367,74,44,,162,52,20.16348774,,0.320987654,420033001005
31812,G5030,208903717072468,420035624003,42,003,562400,3,3,Block Group 3,BG,S,442078,0,+40.4190740,-080.0031893,+40.4190740,-080.0031893,4078.383291,763534.8476,0.003318419,0.003318419,987,Block Group 3; Census Tract 5624; Allegheny County; Pennsylvania,1467,34.5,47,0,0,0,0,9,0,22,0,23,9,46,,,495,11,51,42,3,562400,3,1467,156,34,,495,62,10.63394683,,0.125252525,420035624003
31823,G5030,208903717072135,420035631002,42,003,563100,2,2,Block Group 2,BG,S,879412,0,+40.4320096,-080.0530338,+40.4320096,-080.0530338,5931.346447,1519463.641,0.003000869,0.003000869,1003,Block Group 2; Census Tract 5631; Allegheny County; Pennsylvania,2639,34.6,8,98,127,1,13,0,6,14,57,31,22,0,,,1103,0,8,42,3,563100,2,2639,377,35,,1103,8,14.28571429,,0.007252947,420035631002
35774,G5030,208903717072621,420030709003,42,003,070900,3,3,Block Group 3,BG,S,222620,0,+40.4489125,-079.9431796,+40.4489125,-079.9431796,2606.1036,384837.6777,0.002007906,0.002007906,48,Block Group 3; Census Tract 709; Allegheny County; Pennsylvania,447,49.4,0,0,11,0,0,15,10,0,10,0,3,118,,,251,0,56,42,3,70900,3,447,167,49,,251,56,37.36017897,,0.22310757,420030709003
35775,G5030,208903717072622,420039806001,42,003,980600,1,1,Block Group 1,BG,S,981768,469916,+40.4520113,-080.0280507,+40.4515634,-080.0280024,8546.700962,2509726.646,5.09285E-06,5.09285E-06,1053,Block Group 1; Census Tract 9806; Allegheny County; Pennsylvania,5,-666666666,0,0,0,0,0,0,0,0,0,0,0,0,,,5,0,5,42,3,980600,1,5,0,-666666666,,5,5,0,,1,420039806001
37093,G5030,208903717072637,420034658001,42,003,465800,1,1,Block Group 1,BG,S,587710,0,+40.4323760,-080.0624283,+40.4323760,-080.0624283,5703.943593,1015465.337,0.00256419,0.00256419,560,Block Group 1; Census Tract 4658; Allegheny County; Pennsylvania,1507,36.8,53,42,9,10,0,0,9,20,50,19,9,0,,,749,10,45,42,3,465800,1,1507,221,37,,749,55,14.66489715,,0.073431242,420034658001
38852,G5030,20890321513629,420034790001,42,003,479000,1,1,Block Group 1,BG,S,731577,0,+40.3817545,-080.0116305,+40.3848280,-080.0177805,8871.894949,1262158.467,0.001228852,0.001228852,688,Block Group 1; Census Tract 4790; Allegheny County; Pennsylvania,899,37,14,26,28,14,11,0,20,25,17,22,6,18,,,399,9,5,42,3,479000,1,899,201,37,,399,14,22.35817575,,0.035087719,420034790001
39061,G5030,208903717072645,420035619001,42,003,561900,1,1,Block Group 1,BG,S,427931,0,+40.4729084,-079.8940156,+40.4729084,-079.8940156,4248.045779,740279.9242,0.001140371,0.001140371,977,Block Group 1; Census Tract 5619; Allegheny County; Pennsylvania,488,66.8,19,99,29,0,0,16,0,36,17,0,0,43,,,277,16,23,42,3,561900,1,488,259,67,,277,39,53.07377049,,0.140794224,420035619001
